sku,match_name,youtube_id,timestamp_seconds,division_id
RE-V5RC-25-0010,Q17,agB71m6kfJw,6787,1
RE-V5RC-25-0010,Q18,agB71m6kfJw,7028,1
RE-V5RC-25-0010,Q19,agB71m6kfJw,7234,1
RE-V5RC-25-0010,Q20,agB71m6kfJw,7506,1
RE-V5RC-25-0010,Q21,agB71m6kfJw,7696,1
RE-V5RC-25-0010,Q22,agB71m6kfJw,7922,1
RE-V5RC-25-0010,Q23,agB71m6kfJw,8193,1
RE-V5RC-25-0010,Q24,agB71m6kfJw,8524,1
RE-V5RC-25-0010,Q25,agB71m6kfJw,8794,1
RE-V5RC-25-0010,Q26,agB71m6kfJw,9055,1
RE-V5RC-25-0010,Q27,agB71m6kfJw,9273,1
RE-V5RC-25-0010,Q28,agB71m6kfJw,9570,1
RE-V5RC-25-0010,Q30,agB71m6kfJw,10053,1
RE-V5RC-25-0010,Q31,agB71m6kfJw,10252,1
RE-V5RC-25-0010,Q32,agB71m6kfJw,10461,1
RE-V5RC-25-0010,Q33,agB71m6kfJw,10629,1
RE-V5RC-25-0010,Q34,agB71m6kfJw,10849,1
RE-V5RC-25-0010,Q35,agB71m6kfJw,11036,1
RE-V5RC-25-0010,Q36,agB71m6kfJw,11335,1
RE-V5RC-25-0010,Q38,agB71m6kfJw,11902,1
RE-V5RC-25-0010,Q39,agB71m6kfJw,12111,1
RE-V5RC-25-0010,Q40,agB71m6kfJw,12286,1
RE-V5RC-25-0010,Q41,agB71m6kfJw,12542,1
RE-V5RC-25-0010,Q42,agB71m6kfJw,12749,1
RE-V5RC-25-0010,Q44,agB71m6kfJw,13247,1
RE-V5RC-25-0010,Q45,agB71m6kfJw,13500,1
RE-V5RC-25-0010,Q46,agB71m6kfJw,13689,1
RE-V5RC-25-0010,Q47,agB71m6kfJw,14065,1
RE-V5RC-25-0010,Q48,bXGM9dOsLGc,87,1
RE-V5RC-25-0010,Q49,bXGM9dOsLGc,265,1
RE-V5RC-25-0010,Q50,bXGM9dOsLGc,498,1
RE-V5RC-25-0010,Q51,bXGM9dOsLGc,787,1
RE-V5RC-25-0010,Q52,bXGM9dOsLGc,947,1
RE-V5RC-25-0010,Q53,bXGM9dOsLGc,1141,1
RE-V5RC-25-0010,Q54,bXGM9dOsLGc,1640,1
RE-V5RC-25-0010,Q56,bXGM9dOsLGc,2134,1
